Story Type, Value, Base Amount, Audio Path, Art Path, Spine Path
Genre,Action,10,,,
Genre,Comedy,10,,,
Genre,Adventure,10,,,
Character,Antihero,10,,,
Character,Hero,10,,,
Character,Villain,10,,,
Setting,OuterSpace,10,,,
Setting,Office,10,,,
Setting,Pre-historic,10,,,
Genre,Romance,10,,,
Character,Lover,10,,,
Setting,Mountains,10,,,
Setting,Forest,10,,,
Setting,Underwater,10,,,
Setting,WildWest,10,,,
Setting,Medieval,10,,,
Setting,Campus,10,,,
Setting,Hospital,10,,,
Setting,Basement,10,,,
Character,MadScientist,10,,,
Character,Magician,10,,,
Character,Trickster,10,,,
Character,CEO,10,,,
Character,Friend,10,,,
Genre,Slice-of-Life,10,,,
Character,Enemy,10,,,
Character,Bodyguard,10,,,
Character,Athlete,10,,,
Character,Werewolf,10,,,
Genre,Coming-of-Age,10,,,
Genre,Sci-Fi,10,,,
Genre,Fantasy,10,,,
Genre,Paranormal,10,,,
Genre,Horror,10,,,
Genre,Drama,10,,,
Genre,Thriller,10,,,
Genre,History,10,,,
